Timestamp,Şirket lokasyon,Çalışma türü,Çalışma şekli,Toplam kaç yıllık iş deneyimin var?,Hangi seviyedesin?,Hangi programlama dillerini kullanıyorsun,Ne yapıyorsun?,Aylık ortalama net kaç bin TL alıyorsun?,Cinsiyet
8/2/2024 22:36:11,Türkiye,Tam zamanlı,Hybrid,11 - 15,Architect,"TypeScript, Java",Fullstack,161 - 170,
8/2/2024 22:36:14,Türkiye,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript, Go",Frontend,61 - 70,
8/2/2024 22:38:53,Türkiye,Tam zamanlı,Remote,16 - 20,Director Level Manager,Hiçbiri,Product Designer,111 - 120,
8/2/2024 22:40:18,Türkiye,Tam zamanlı,Hybrid,1,Junior,"HTML/CSS, TypeScript",Frontend,21 - 30,
8/2/2024 22:42:22,Türkiye,Tam zamanlı,Hybrid,3,Mid,"HTML/CSS, JavaScript, TypeScript, C#",Fullstack,71 - 80,
8/2/2024 22:44:58,Türkiye,Tam zamanlı,Remote,8,Senior,"HTML/CSS, JavaScript, TypeScript, Java, SQL, Bash",Frontend,81 - 90,
8/2/2024 22:45:03,Türkiye,Tam zamanlı,Remote,4,Mid,"HTML/CSS, JavaScript, TypeScript",React Native,61 - 70,
8/2/2024 22:45:38,Türkiye,Tam zamanlı,Remote,1,Junior,"HTML/CSS, JavaScript, C#",Fullstack,21 - 30,
8/2/2024 22:45:51,Türkiye,Tam zamanlı,Remote,11 - 15,Engineering Manager,"HTML/CSS, JavaScript, C#, SQL",Fullstack,141 - 150,
8/2/2024 22:48:04,Türkiye,Tam zamanlı,Remote,1,Junior,"HTML/CSS, JavaScript, C#, SQL",Backend,51 - 60,
8/2/2024 22:48:25,Türkiye,Tam zamanlı,Remote,1,Junior,"JavaScript, TypeScript",Fullstack,21 - 30,
8/2/2024 22:49:10,Türkiye,Tam zamanlı,Office,11 - 15,Senior,"JavaScript, Java, C, Objective C, SQL",Fullstack,31 - 40,
8/2/2024 22:52:20,Türkiye,Tam zamanlı,Hybrid,2,Mid,Java,Backend,51 - 60,
8/2/2024 22:54:06,Türkiye,Tam zamanlı,Hybrid,3,Mid,"TypeScript, C#",Fullstack,41 - 50,
8/2/2024 22:54:59,Türkiye,Tam zamanlı,Remote,5,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,41 - 50,
8/2/2024 22:55:23,Türkiye,Tam zamanlı,Office,1,Junior,Python,Eğitim,51 - 60,
8/2/2024 22:55:51,Türkiye,Tam zamanlı,Office,6,Senior,"HTML/CSS, JavaScript, C#",Fullstack,61 - 70,
8/2/2024 22:56:05,Türkiye,Tam zamanlı,Hybrid,2,Junior,"HTML/CSS, JavaScript",SAP Developer,11 - 20,
8/2/2024 22:57:27,Türkiye,Tam zamanlı,Office,9,Senior,ABAP,SAP Developer,121 - 130,
8/2/2024 22:58:44,Türkiye,Tam zamanlı,Hybrid,5,Senior,"Java, Kotlin",Android,51 - 60,
8/2/2024 23:00:29,Türkiye,Tam zamanlı,Office,4,Team Lead,SQL,Business Analyst,51 - 60,
8/2/2024 23:01:01,Türkiye,Tam zamanlı,Remote,2,Mid,Kotlin,Android,41 - 50,
8/2/2024 23:01:02,Türkiye,Tam zamanlı,Remote,4,Mid,Java,Backend,91 - 100,
8/2/2024 23:01:18,Türkiye,Tam zamanlı,Hybrid,4,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,61 - 70,
8/2/2024 23:01:40,Türkiye,Tam zamanlı,Hybrid,3,Mid,"HTML/CSS, JavaScript, TypeScript, Rust",Test Automation Engineer,91 - 100,
8/2/2024 23:04:16,Türkiye,Tam zamanlı,Remote,8,Senior,Java,Backend,101 - 110,
8/2/2024 23:05:21,Türkiye,Tam zamanlı,Remote,16 - 20,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,111 - 120,
8/2/2024 23:07:57,Türkiye,Tam zamanlı,Remote,9,Team Lead,Kotlin,Android,141 - 150,
8/2/2024 23:08:11,Türkiye,Tam zamanlı,Hybrid,16 - 20,Architect,"TypeScript, C#",Fullstack,111 - 120,
8/2/2024 23:08:40,Türkiye,Tam zamanlı,Remote,0,Junior,"HTML/CSS, JavaScript, Python, C, C++",DevOps,11 - 20,
8/2/2024 23:10:24,Türkiye,Tam zamanlı,Remote,2,Mid,Kotlin,Android,41 - 50,
8/2/2024 23:10:48,Türkiye,Tam zamanlı,Hybrid,0,Junior,SQL,Business Analyst,31 - 40,
8/2/2024 23:11:09,Türkiye,Tam zamanlı,Remote,7,Senior,"HTML/CSS, JavaScript, TypeScript, C#",Frontend,71 - 80,
8/2/2024 23:11:44,Türkiye,Tam zamanlı,Office,3,Mid,ABAP,SAP Developer,31 - 40,
8/2/2024 23:11:44,Türkiye,Tam zamanlı,Remote,2,Junior,Java,Backend,31 - 40,
8/2/2024 23:16:27,Türkiye,Tam zamanlı,Remote,7,Senior,"JavaScript, PHP, SQL",Backend,61 - 70,
8/2/2024 23:16:43,Türkiye,Tam zamanlı,Hybrid,11 - 15,Team Lead,"HTML/CSS, JavaScript, C#, SQL",Fullstack,101 - 110,
8/2/2024 23:17:51,Türkiye,Tam zamanlı,Hybrid,3,Mid,Java,IT Specialist,61 - 70,
8/2/2024 23:17:56,Avrupa,Yarı zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript",Frontend,41 - 50,
8/2/2024 23:17:58,Türkiye,Tam zamanlı,Remote,5,Senior,"HTML/CSS, JavaScript, PHP, SQL",Fullstack,71 - 80,
8/2/2024 23:19:33,Türkiye,Tam zamanlı,Office,16 - 20,Engineering Manager,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Fullstack,131 - 140,
8/2/2024 23:21:48,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, Go, C#, SQL",Manuel Tester,31 - 40,
8/2/2024 23:22:06,Türkiye,Tam zamanlı,Hybrid,5,Mid,Kotlin,Android,71 - 80,
8/2/2024 23:22:31,Türkiye,Tam zamanlı,Remote,3,Mid,Python,Backend,31 - 40,
8/2/2024 23:22:54,Türkiye,Tam zamanlı,Hybrid,1,Junior,"HTML/CSS, JavaScript, Python, SQL",Fullstack,31 - 40,
8/2/2024 23:24:21,Türkiye,Tam zamanlı,Hybrid,1,Junior,JavaScript,Frontend,21 - 30,
8/2/2024 23:27:44,Türkiye,Tam zamanlı,Office,0,Junior,"Dart, SQL",Flutter,11 - 20,
8/2/2024 23:27:52,Avrupa,Tam zamanlı,Remote,4,Mid,C++,Game Developer,131 - 140,
8/2/2024 23:28:26,Türkiye,Tam zamanlı,Remote,1,Junior,C#,Backend,31 - 40,
8/2/2024 23:28:39,Türkiye,Tam zamanlı,Remote,4,Senior,"HTML/CSS, JavaScript, TypeScript, Java",Fullstack,51 - 60,
8/2/2024 23:30:18,Türkiye,Tam zamanlı,Hybrid,4,Mid,"TypeScript, Java",Fullstack,81 - 90,
